name,dong,lon,lat,in,out
경북대학교서문앞,산격4동,128.60302543333333,35.88881765,44626.0,18772.0
산격청구맨션앞,산격4동,128.60111,35.889626666666665,68185.0,49839.0
시청별관건너2,산격4동,128.6001916666667,35.88997166666665,75367.0,19933.0
실내체육관건너,산격4동,128.60255166666667,35.891828333333336,48376.0,13819.0
실내체육관앞,산격4동,128.60254833333332,35.89182333333333,64886.0,18823.0
기독교방송국건너,침산2동,128.59820333333334,35.887825,71141.0,28117.0
기독교방송국앞,침산2동,128.59835833333332,35.88799166666667,48670.0,21182.0
오뚜기물류센터,산격2동,128.60775833333335,35.90923333333333,2070.0,224.0
엑스코앞,산격2동,128.61246166666666,35.90828,163217.0,7547.0
동침산네거리,침산2동,128.59936833333333,35.88653833333333,18770.0,19001.0
경대교앞,침산2동,128.60076333333333,35.88603833333333,1878.0,13818.0
경대교건너,침산2동,128.60053166666665,35.885625,9887.0,1762.0
새동네아파트앞,칠성동,128.600845,35.88248,8405.0,20488.0
경북대체육센터건너,산격3동,128.60661333333334,35.891158333333344,137553.0,9599.0
경북대학교북문앞,산격3동,128.61017333333334,35.89320499999999,394615.0,87173.0
경북대학교북문건너,산격3동,128.60976666666667,35.89295666666667,836233.0,37172.0
복현우체국앞,복현1동,128.61297166666665,35.89572333333333,97484.0,79588.0
복현우체국건너,산격3동,128.61368333333337,35.89640333333333,427910.0,52760.0
복현오거리2,복현2동,128.615235,35.898348333333345,130245.0,51421.0
건영아파트건너,산격2동,128.61513333333335,35.89949333333333,176497.0,74671.0
복현대백맨션앞,복현2동,128.61607333333333,35.901585,58007.0,46185.0
복현대백맨션건너,산격2동,128.61609833333333,35.902328333333344,218057.0,24128.0
복현오거리3,복현2동,128.61609833333333,35.897756666666666,1756.0,2915.0
북중학교앞,복현2동,128.62014333333335,35.89860333333333,59102.0,16292.0
복현장미맨션앞,복현2동,128.61868666666666,35.898465,69471.0,23921.0
명문세가APT앞,복현2동,128.62381776666663,35.89776711666668,175845.0,29313.0
명문세가APT건너,복현2동,128.62388166666668,35.897998333333334,99113.0,18245.0
영진전문대학정문앞,복현2동,128.62393166666666,35.89443166666667,241918.0,52719.0
영진전문대학정문건너,복현2동,128.62377999999998,35.89412,148468.0,28305.0
복현서한2차아파트,복현2동,128.62507175000002,35.89976558333333,32410.0,38249.0
복현우방아파트,복현2동,128.62433833333336,35.89940333333333,121181.0,18247.0
대구우편집중국(동편),산격2동,128.615565,35.91094333333333,14.0,234.0
동원약품,산격2동,128.61693766666664,35.90889998333333,99885.0,20895.0
성화여고건너,복현2동,128.61822725,35.90228388333333,144089.0,9079.0
성화여고앞,복현2동,128.61837096666665,35.90194225000001,78997.0,35547.0
복현현대맨션앞,복현2동,128.61770166666665,35.899728333333336,22098.0,5019.0
복현현대맨션건너,복현2동,128.61780333333334,35.89977833333333,26496.0,2573.0
노곡동,관문동,128.56337166666665,35.905663333333344,385814.0,79008.0
연암네거리3,산격2동,128.598985,35.90218833333333,2032.0,24957.0
칠성휴먼시아앞,칠성동,128.58979191666668,35.87883546666667,2099.0,1202.0
